COMPANY,ADDRESS,CITY,STATE,ZIP,ZIP4,LEGALNAME,PADDRESSLNG,PCITY,PSTATE,PZIP,PCRRT,SICDESC,TITLE,CONTACTNAMECOMP,Corporate Name (Search),UCC URL (Search),Source File,Status (UCC),Date Filed,Expires,Filings Completed Through,UCC Number,Filing Events,Secured Parties Count,Secured Party 1 Name,Secured Party 1 Address,Secured Party 2 Name,Secured Party 2 Address,Secured Party 3 Name,Secured Party 3 Address,Secured Party 4 Name,Secured Party 4 Address,Secured Party 5 Name,Secured Party 5 Address,Debtor Parties Count,Debtor Name,Debtor Address,Document Type,Document Pages,Document Number,Filing Date
James S Gaspari Aia,3520 Embassy Dr,West Palm Beach,FL,33401-1030,1030,JAMES S GASPARI AIA,3520 Embassy Dr,West Palm Beach,FL,33401-1030,,Architectural Services,Owner,Ms. Florence S Gaspari,James S Gaspari Aia,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Jack Krauser Dmd,3017 Embassy Dr,West Palm Beach,FL,33401-1041,1041,JACK KRAUSER DMD,3017 Embassy Dr,West Palm Beach,FL,33401-1041,C039,Periodontist,Owner,Mr. Jack Krauser,Jack Krauser Dmd,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Chin Yet & Associate Intl Corp,3726 Embassy Dr,West Palm Beach,FL,33401-1045,1045,CHIN YET & ASSOCIATE INTERNATIONAL CORP.,3726 Embassy Dr,West Palm Beach,FL,33401-1045,C083,Food Industry Machinery,President,Mr. Owen J Chin Yet,Chin Yet & Associate Intl Corp,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Envoy Condominium Assn Inc,2450 Presidential Way Ofc,West Palm Beach,FL,33401-1328,1328,THE ENVOY CONDOMINIUM ASSOCIATION INC,2450 Presidential Way Ofc,West Palm Beach,FL,33401-1328,C086,Condominium Association,President,Mr. Herb Mazer,Envoy Condominium Assn Inc,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
President Country Club  Inc,2300 Presidential Way,West Palm Beach,FL,33401-1599,1599,THE PRESIDENT COUNTRY CLUB INC,2300 Presidential Way,West Palm Beach,FL,33401-1599,C037,"Country Club, Membership",President,Mr. Stan Sirak,President Country Club  Inc,https://floridaucc.com/search?text=THE PRESIDENT COUNTRY CLUB INC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Search1600.csv,Lapsed,09/16/1996,09/16/2001,03/02/2026,960000194927,1,1,,,,,,,,,,,1,PRESIDENT COUNTRY CLUB INC,"2300 PRESIDENTIAL WAY, WEST PALM BEACH, FL, 33401",UCC1,2,,09/16/1996
Cross Creek Condo Assn Inc,1500 N Congress Ave,West Palm Beach,FL,33401-1717,1717,"CROSS CREEK CONDOMINIUM ASSOCIATION, INC.",1500 N Congress Ave,West Palm Beach,FL,33401-1717,C083,"Dwelling Operators, Except Apartments",President,Ms. Lois Pike,Cross Creek Condo Assn Inc,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Presidential Way Assn Inc,1630 Presidential Way,West Palm Beach,FL,33401-1809,1809,"PRESIDENTIAL WAY ASSOCIATION, INC.",1630 Presidential Way,West Palm Beach,FL,33401-1809,,Merchants' Association,Vice-President,Mr. John Buonocore,Presidential Way Assn Inc,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Endodntic Assoc Of Palm Bches,1501 Prsdential Way Ste 7,West Palm Beach,FL,33401-1852,1852,"ENDODONTIC ASSOCIATES OF THE PALM BEACHES, P.A.",1501 Presidential Way Ste 7,West Palm Beach,FL,33401-1852,,Endodontist,Principal,Rory E Mortman,Endodntic Assoc Of Palm Bches,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Moorhead and Ferlita,1501 Presidential Way,West Palm Beach,FL,33401-1852,1852,MOORHEAD AND FERLITA,1501 Presidential Way Ste 3,West Palm Beach,FL,33401-1852,,Dentists' Office,Partner,Gernie Moorhead,Moorhead and Ferlita,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Presidential Eye Center PA,1501 Prsdntial Way Ste 11,West Palm Beach,FL,33401-1852,1852,PRESIDENTIAL EYE CENTER PA,1501 Presidential Way Ste 11,West Palm Beach,FL,33401-1852,,Opthalmologist,President,Mr. Steve Spector,Presidential Eye Center PA,https://floridaucc.com/search?text=PRESIDENTIAL EYE CENTER PA&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Search1600.csv,Lapsed,12/27/1991,12/27/1996,03/02/2026,910000272481,0,1,,,,,,,,,,,2,BEAL RICHARD,"373 PO BOX, BIG INE KEY, FL, 33043",UCC1,1,,12/27/1991
Axelrod and Silver DDS PA Inc,1501 Presidential Way,West Palm Beach,FL,33401-1852,1852,AXELROD AND SILVER DDS PA INC,1501 Presidential Way Ste 15,West Palm Beach,FL,33401-1852,C037,Orthodontist,Partner,Mr. Michael Axelrod,Axelrod and Silver DDS PA Inc,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Marble Doctors LLC,1700 Embassy Dr Apt 108,West Palm Beach,FL,33401-1961,1961,MARBLE DOCTORS LLC,1700 Embassy Dr Apt 108,West Palm Beach,FL,33401-1961,,"Marble, Building: Cut And Shaped",Member,Mr. Sergio Gomes Da Silva,Marble Doctors LLC,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Palm Beach Lakes Oil LLC,1840 Palm Bch Lakes Blvd,West Palm Beach,FL,33401-2002,2002,PALM BEACH LAKES OIL LLC,1840 Palm Beach Lakes Blvd,West Palm Beach,FL,33401-2002,,Crude Oil,Principal,Mr. Amjad Hammad,Palm Beach Lakes Oil LLC,https://floridaucc.com/search?text=PALM BEACH LAKES OIL LLC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Search1600.csv,Lapsed,03/31/2004,03/31/2009,03/02/2026,200406532719,1,1,,,,,,,,,,,1,"PALM BEACH LAKES, L.L.C.","505 E FLAGLER DR, STE 1010, WEST PALM BEACH, FL, 33401",UCC1,2,,03/31/2004
Earthology  LLC,1700 Palm Bch Lkes Blvd S,West Palm Beach,FL,33401-2011,2011,"EARTHOLOGY, LLC",1700 Palm Beach Lakes Blvd Ste 730,West Palm Beach,FL,33401-2011,,Environmental Consultant,,Prajakta Kamthe,Earthology  LLC,"https://floridaucc.com/search?text=EARTHOLOGY, LLC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard",Search1600.csv,Filed,03/14/2022,03/14/2027,03/02/2026,202200802707,0,1,,,,,,,,,,,1,EARTHOLOGY LLC,"3611 HIGH RIDGE WAY APT 306, BOYNTON BEACH, FL, 33426",UCC1,1,,03/14/2022
First Choice Credit Mgt LLC,1665 Palm Bch Lkes Blvd S,West Palm Beach,FL,33401-2106,2106,"FIRST CHOICE CREDIT MANAGEMENT, LLC",1665 Palm Beach Lakes Blvd Ste 800,West Palm Beach,FL,33401-2106,,Business Management,President,Mr. Anthony Sacchetillo,First Choice Credit Mgt LLC,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Kelley Kaplan & Eller  Pllc,1665 Palm Bch Lkes Blvd S,West Palm Beach,FL,33401-2109,2109,"KELLEY KAPLAN & ELLER, PLLC",1665 Palm Beach Lakes Blvd Ste 1000,West Palm Beach,FL,33401-2109,,"Specialized Law Offices, Attorneys",Manager,Mr. Craig I Kelley,Kelley Kaplan & Eller  Pllc,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Gary Roberts & Associates PA,1665 Palm Bch Lakes Blvd,West Palm Beach,FL,33401-2121,2121,"GARY ROBERTS & ASSOCIATES, P.A.",1665 Palm Beach Lakes Blvd,West Palm Beach,FL,33401-2121,,"General Practice Attorney, Lawyer",President,Mr. Gary W Roberts,Gary Roberts & Associates PA,"https://floridaucc.com/search?text=GARY ROBERTS & ASSOCIATES, P.A.&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard",Search1600.csv,Lapsed,09/25/2000,09/25/2005,03/02/2026,200000226554,0,1,,,,,,,,,,,1,GARY ROBERTS & ASSOCIATES PA,"1675 PALM BEACH LAKES BLVD STE 700, WEST PALM BEACH, FL, 33401",UCC1,2,,09/25/2000
Wyland & Tadros LLP,1665 Palm Beach Lakes Blv,West Palm Beach,FL,33401-2121,2121,WYLAND & TADROS LLP,1665 Palm Beach Lakes Blvd Ste 900,West Palm Beach,FL,33401-2121,C037,General Practice Law Office,Partner,Mr. David Tadros,Wyland & Tadros LLP,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
National Sttlment Slutions Inc,1645 Palm Bch Lakes Blvd,West Palm Beach,FL,33401-2204,2204,"NATIONAL SETTLEMENT SOLUTIONS, INC.",1645 Palm Beach Lakes Blvd Ste 480,West Palm Beach,FL,33401-2204,C036,Management Services,President,Mr. Jason Simons,National Sttlment Slutions Inc,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Ribson Company  Inc,1655 Palm Bch Lkes Blvd S,West Palm Beach,FL,33401-2208,2208,"RIBSON COMPANY, INC",1655 Palm Beach Lakes Blvd Ste 801,West Palm Beach,FL,33401-2208,,"Electronic Parts And Equipment, Nec",President,Ms. Krystyna Zebrowska,Ribson Company  Inc,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Matrix Mediation,1655 Palm Bch Lkes Blvd S,West Palm Beach,FL,33401-2208,2208,MATRIX MEDIATION,1655 Palm Beach Lakes Blvd Ste 700,West Palm Beach,FL,33401-2208,,"Personal Service Agents, Brokers, And Bureaus",Principal,Mr. Rodney G Romano,Matrix Mediation,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Greenstein & Associates  LLC,1655 Palm Bch Lkes Blvd S,West Palm Beach,FL,33401-2208,2208,"GREENSTEIN & ASSOCIATES, LLC",1655 Palm Beach Lakes Blvd Ste 800,West Palm Beach,FL,33401-2208,,Real Estate Law,Managing Partner,Ms. Blanca Greenstein,Greenstein & Associates  LLC,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Lyle B Masnikoff & Assoc P A,1645 Palm Bch Lkes Blvd S,West Palm Beach,FL,33401-2210,2210,LYLE B MASNIKOFF & ASSOCIATES P A,1645 Palm Beach Lakes Blvd Ste 550,West Palm Beach,FL,33401-2210,,Labor And Employment Law,Principal,Mr. Lyle B Masnikoff,Lyle B Masnikoff & Assoc P A,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Mg Malls  LLC,1655 Palm Bch Lkes Blvd S,West Palm Beach,FL,33401-2211,2211,"MG MALLS, LLC",1655 Palm Beach Lakes Blvd Ste 903,West Palm Beach,FL,33401-2211,,Advertising Agencies,Principal,Mr. David Parsons,Mg Malls  LLC,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Abeam Analytics Inc,1645 Palm Bch Lkes Blvd S,West Palm Beach,FL,33401-2214,2214,ABEAM ANALYTICS INC.,1645 Palm Beach Lakes Blvd Ste 1200,West Palm Beach,FL,33401-2214,,Computer Installation,President,Tiai Stewart,Abeam Analytics Inc,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Classique Realty & Investments,1645 Palm Bch Lkes Blvd S,West Palm Beach,FL,33401-2214,2214,CLASSIQUE REALTY AND INVESTMENTS INC,1645 Palm Beach Lakes Blvd Ste 1200,West Palm Beach,FL,33401-2214,,"Investors, Nec",Chief Executive Officer,Ms. Monique Gilce,Classique Realty & Investments,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Worth Avenue Restaurant  Inc,1645 Palm Bch Lakes Blvd,West Palm Beach,FL,33401-2214,2214,"WORTH AVENUE RESTAURANT, INC.",1645 Palm Beach Lakes Blvd Ste 1200,West Palm Beach,FL,33401-2214,,Italian Restaurant,President,Mr. Franklyn P Demarco,Worth Avenue Restaurant  Inc,"https://floridaucc.com/search?text=WORTH AVENUE RESTAURANT, INC.&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard",Search1600.csv,Lapsed,11/06/1995,11/06/2000,03/02/2026,950000222152,0,1,,,,,,,,,,,1,WORTH AVENUE RESTAURANT INC,"221 WORTH AVE, PALM BEACH, FL, 33480",UCC1,1,,11/06/1995
Prestige Ultimate Care LLC,1645 Palm Bch Lakes Blvd,West Palm Beach,FL,33401-2214,2214,PRESTIGE ULTIMATE CARE LLC,1645 Palm Beach Lakes Blvd Ste 1200,West Palm Beach,FL,33401-2214,,Home Health Care Services,Managing Member,Ms. Monique Gilce,Prestige Ultimate Care LLC,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Senior Care Nvigator Group Inc,1645 Palm Bch Lakes Blvd,West Palm Beach,FL,33401-2214,2214,"SENIOR CARE NAVIGATOR GROUP, INC.",1645 Palm Beach Lakes Blvd Ste 1200,West Palm Beach,FL,33401-2214,,Old Age Assistance,Principal,Timisha Emanuel,Senior Care Nvigator Group Inc,"https://floridaucc.com/search?text=SENIOR CARE NAVIGATOR GROUP, INC.&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard",Search1600.csv,Filed,09/08/2020,09/08/2030,03/02/2026,20200463053X,1,1,,,,,,,,,,,1,SENIOR CARE NAVIGATOR GROUP,"1645 PALM BEACH LAKE BLVD SUITE 1200, WEST PALM BEACH, FL, 33401",UCC1,1,,09/08/2020
Steinger & Iscoe  PA,1645 Palm Bch Lkes Blvd S,West Palm Beach,FL,33401-2219,2219,"STEINGER & ISCOE, P.A.",1645 Palm Beach Lakes Blvd Ste 900,West Palm Beach,FL,33401-2219,,"General Practice Attorney, Lawyer",President,Mr. Michael Steinger,Steinger & Iscoe  PA,"https://floridaucc.com/search?text=STEINGER & ISCOE, P.A.&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard",Search1600.csv,Lapsed,05/19/2006,05/19/2021,03/02/2026,200602684984,3,1,,,,,,,,,,,1,STEINGER & ISCOE PA,"1645 PALM BEACH LAKES BLVD, 9TH FLOOR, WEST PALM BEACH, FL, 33401",UCC1,1,,05/19/2006
Tech Search America Inc,1655 Palm Bch Lakes Blvd,West Palm Beach,FL,33401-2225,2225,"TECH SEARCH AMERICA, INC",1655 Palm Beach Lakes Blvd,West Palm Beach,FL,33401-2225,,Placement Agencies,Chief Executive Officer,Kim Zakarian,Tech Search America Inc,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Rosenthal Levy Simon & Sosa PA,1401 Forum Way Ste 730,West Palm Beach,FL,33401-2289,2289,"ROSENTHAL, LEVY, SIMON & SOSA, P.A.",1401 Forum Way,West Palm Beach,FL,33401-2289,C036,"General Practice Attorney, Lawyer",Principal,Mr. Gerald A Rosenthal,Rosenthal Levy Simon & Sosa PA,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Four Points Construction  LLC,1555 Palm Beach Lakes Blv,West Palm Beach,FL,33401-2300,2300,"FOUR POINTS CONSTRUCTION, LLC",1555 Palm Beach Lakes Blvd Ste 300,West Palm Beach,FL,33401-2300,C043,"General Remodeling, Single-Family Houses",Principal,Mr. James Macnamee,Four Points Construction  LLC,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Flagler Medical Associates PA,1552 Palm Bch Lakes Blvd,West Palm Beach,FL,33401-2302,2302,FLAGLER MEDICAL ASSOCIATES P.A.,1552 Palm Beach Lakes Blvd,West Palm Beach,FL,33401-2302,C043,"General And Family Practice, Physician/Surgeon",President,Mr. Mark Rattinger,Flagler Medical Associates PA,https://floridaucc.com/search?text=FLAGLER MEDICAL ASSOCIATES P.A.&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Search1600.csv,Lapsed,03/20/1995,03/20/2000,03/02/2026,950000054455,0,1,,,,,,,,,,,1,FLAGLER MEDICAL ASSOCIATES PA,"2801 N FLAGLER DR, WEST PALM BEACH, FL, 33407",UCC1,1,,03/20/1995
Sara Of Palm Beach  Inc,1677 Forum Pl,West Palm Beach,FL,33401-2303,2303,"SARA OF PALM BEACH, INC.",1677 Forum Pl,West Palm Beach,FL,33401-2303,,"Pizzeria, Chain",Principal,Abdelali Eljai,Sara Of Palm Beach  Inc,"https://floridaucc.com/search?text=SARA OF PALM BEACH, INC.&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard",Search1600.csv,Lapsed,05/22/2006,05/22/2011,03/02/2026,200602702818,0,1,,,,,,,,,,,1,"SARA OF PALM BEACH, INC.","1677 FORUM PLACE, WEST PALM BEACH, FL, 33401",UCC1,2,,05/22/2006
U C A C Inc,1551 Forum Pl Ste 500d,West Palm Beach,FL,33401-2309,2309,U C A C INC,1551 Forum Pl Ste 500d,West Palm Beach,FL,33401-2309,,Labor Resource Services,Chairman Of The Board,Mr. Bertram Collins,U C A C Inc,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Asset Planning Corporation,1615 Forum Pl Ste 1a,West Palm Beach,FL,33401-2314,2314,ASSET PLANNING CORPORATION,1615 Forum Pl Ste 1a,West Palm Beach,FL,33401-2314,C036,Financial Consultant,President,Mr. Louis Micloskey,Asset Planning Corporation,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Roy W Jordan  Jr  PA,1615 Forum Pl Ste 200,West Palm Beach,FL,33401-2315,2315,"ROY W. JORDAN, JR., P.A.",1615 Forum Pl Ste 200,West Palm Beach,FL,33401-2315,C036,"General Practice Attorney, Lawyer",President,Mr. Roy W Jordan,Roy W Jordan  Jr  PA,"https://floridaucc.com/search?text=ROY W. JORDAN, JR., P.A.&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard",Search1600.csv,Lapsed,12/15/2008,12/15/2013,03/02/2026,200809701098,1,1,,,,,,,,,,,1,"ROY W. JORDAN, JR. P.A.","1675 PALM BEACH LAKES BLVD. SUITE 700, WEST PALM BEACH, FL, 33401",UCC1,1,,12/15/2008
Jezerinac Group  Pllc,1615 Forum Pl,West Palm Beach,FL,33401-2316,2316,"JEZERINAC GROUP, PLLC",1615 Forum Pl Ste 3a,West Palm Beach,FL,33401-2316,,Structural Engineering,Managing Member,Mr. Ronald Jezerinac,Jezerinac Group  Pllc,"https://floridaucc.com/search?text=JEZERINAC GROUP, PLLC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard",Search1600.csv,Filed,09/18/2024,09/18/2029,03/02/2026,202402478649,0,1,,,,,,,,,,,1,JEZERINAC GROUP PLLC,"480 HIBISCUS ST STE 107, WEST PALM BEACH, FL, 334015868",UCC1,3,,09/18/2024
Schuler Wsser Zller Ovrbeck Bx,1615 Forum Pl Ste 4,West Palm Beach,FL,33401-2317,2317,"SCHULER, WEISSER, ZOELLER, OVERBECK AND BAXTER, PA",1615 Forum Pl Ste 4d,West Palm Beach,FL,33401-2317,,General Practice Law Office,Partner,Rrichard Schuler,Schuler Wsser Zller Ovrbeck Bx,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Law Office Of Paul A Krsker PA,1615 Forum Pl Ste 500,West Palm Beach,FL,33401-2318,2318,THE LAW OFFICE OF PAUL A KRASKER P A,1615 Forum Pl Ste 500,West Palm Beach,FL,33401-2318,,General Practice Law Office,Principal,Mr. Paul Krasker,Law Office Of Paul A Krsker PA,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Rigell & Associates PA,1615 Forum Pl Ste 500,West Palm Beach,FL,33401-2318,2318,RIGELL & ASSOCIATES PA,1615 Forum Pl Ste 500,West Palm Beach,FL,33401-2318,,"General Practice Attorney, Lawyer",Partner,Mr. David R Rigell,Rigell & Associates PA,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Clyatt & Richardson  PA,1401 Forum Way Ste 720,West Palm Beach,FL,33401-2322,2322,"CLYATT & RICHARDSON, P.A.",1401 Forum Way Ste 720,West Palm Beach,FL,33401-2322,,"General Practice Attorney, Lawyer",Partner,Mr. Shelton Clyatt,Clyatt & Richardson  PA,"https://floridaucc.com/search?text=CLYATT & RICHARDSON, P.A.&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard",Search1600.csv,Filed,03/15/2019,03/15/2029,03/02/2026,201908033450,1,1,,,,,,,,,,,1,"CLYATT & RICHARDSON, P.A.","1401 FORUM WAY, SUITE 720, WEST PALM BEACH, FL, 33401",UCC1,1,,03/15/2019
Gaunt Pratt Radford & Methe PA,1401 Forum Way Ste 500,West Palm Beach,FL,33401-2322,2322,GAUNT PRATT RADFORD & METHE PA,1401 Forum Way Ste 500,West Palm Beach,FL,33401-2322,,General Practice Law Office,President,Mr. Kent S Pratt,Gaunt Pratt Radford & Methe PA,https://floridaucc.com/search?text=GAUNT PRATT RADFORD & METHE PA&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Search1600.csv,Lapsed,10/09/1995,10/09/2000,03/02/2026,950000203203,1,1,,,,,,,,,,,1,GAUNT PRATT RADFORD & METHE PA,"1401 FORUM WAY SUITE 500, WEST PALM BEACH, FL, 33401",UCC1,1,,10/09/1995
629 It Solutions  LLC,1401 Forum Way Ste 730 B,West Palm Beach,FL,33401-2322,2322,"629 IT SOLUTIONS, LLC",1401 Forum Way Ste 730b,West Palm Beach,FL,33401-2322,,Computer Facilities Management,Managing Member,Mr. Edward Hom,629 It Solutions  LLC,"https://floridaucc.com/search?text=629 IT SOLUTIONS, LLC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard",Search1600.csv,Lapsed,06/18/2014,06/18/2019,03/02/2026,201401647721,0,1,,,,,,,,,,,1,"629 IT SOLUTIONS, LLC","1401 FORUM WAY SUITE 730, WEST PALM BEACH, FL, 33401",UCC1,2,,06/18/2014
